"name"	"N"	"type"	"selectedFit"	"g"	"d"	"phi"
"251"	"1252"	12	"included"	"gd"	0.00188510256812382	0.00481141433794717	NA
"252"	"1253"	16	"included"	"gdphi"	0.0011476231022609	0.0106068901473213	0.987427582212888
"253"	"1254"	8	"included"	"gx"	0.00770318283405098	NA	NA
"254"	"1255"	15	"included"	"gdphi"	0.00171056974900257	0.016416716925506	0.992139067934783
"255"	"1256"	6	"included"	"gd"	0.00209119908916623	0.106561287187227	NA
"256"	"1258"	8	"included"	"gd"	0.000526423687628446	0.0758141440220078	NA
"257"	"1259"	3	"included"	"dx"	NA	0.0186230601828786	NA
"258"	"1260"	6	"included"	"dx"	NA	0.0119291386240893	NA
"259"	"1261"	20	"included"	"gdphi"	0.000431219631266945	0.0109253150653584	0.999144201505961
"260"	"1262"	10	"included"	"gd"	0.00267444362065855	0.00709350404575568	NA
"261"	"1263"	6	"included"	"dx"	NA	0.00502506095454486	NA
"262"	"1264"	11	"included"	"gd"	0.000623601905485523	0.0254483228759744	NA
"263"	"1265"	2	"included"	"gx"	0.0167287212442104	NA	NA
"264"	"1267"	10	"included"	"gx"	0.00566165332008997	NA	NA
"265"	"1268"	9	"included"	"dx"	NA	0.0181467744980121	NA
"266"	"1269"	13	"included"	"gd"	9.94100032297672e-05	0.0372272144713752	NA
"267"	"127"	10	"included"	"gd"	0.000268473507602535	0.0376043774735375	NA
"268"	"1271"	11	"included"	"dx"	NA	0.00394626553720716	NA
"269"	"1272"	5	"included"	"dx"	NA	0.00332532481848492	NA
"270"	"1273"	9	"included"	"dx"	NA	0.00844514442444787	NA
"271"	"1274"	10	"included"	"dx"	NA	0.00886402673170704	NA
"272"	"1275"	4	"excluded"	"not fit"	NA	NA	NA
"273"	"1276"	11	"excluded"	"not fit"	NA	NA	NA
"274"	"1277"	3	"included"	"dx"	NA	0.00546427977666935	NA
"275"	"1278"	19	"included"	"dx"	NA	0.00392688309872699	NA
"276"	"1279"	6	"included"	"gx"	0.00456183554930547	NA	NA
"277"	"128"	4	"included"	"gx"	0.00453402939542188	NA	NA
"278"	"1280"	7	"included"	"gd"	0.00589974998402376	0.0128704991606771	NA
"279"	"1281"	10	"included"	"dx"	NA	0.0288246714912342	NA
"280"	"1282"	12	"included"	"gd"	0.00233827238119758	0.0258281845322467	NA
"281"	"1283"	6	"included"	"dx"	NA	0.0115995144942857	NA
"282"	"1285"	6	"included"	"dx"	NA	0.00776088132777236	NA
"283"	"1286"	18	"included"	"gd"	6.88797022717212e-05	0.0236310104304522	NA
"284"	"1287"	6	"included"	"dx"	NA	0.00847068609754387	NA
"285"	"1288"	9	"excluded"	"not fit"	NA	NA	NA
"286"	"1289"	21	"included"	"dx"	NA	0.00626686839687164	NA
"287"	"129"	10	"included"	"gd"	0.000223958599618129	0.0399484879382584	NA
"288"	"1290"	5	"included"	"gd"	0.00125095333119964	0.0415720539481382	NA
"289"	"1291"	7	"included"	"gd"	0.00170265833842988	0.0138506716772156	NA
"290"	"1292"	11	"included"	"dx"	NA	0.0107789882359589	NA
"291"	"1294"	16	"included"	"gd"	0.000223821695396384	0.0283387805546784	NA
"292"	"1295"	16	"included"	"gd"	0.000938728904297958	0.00687204562614797	NA
"293"	"1297"	3	"excluded"	"not fit"	NA	NA	NA
"294"	"1298"	3	"included"	"dx"	NA	0.021694560084015	NA
"295"	"1299"	9	"included"	"dx"	NA	0.00795493645705007	NA
"296"	"13"	2	"excluded"	"2 evals not 20% diff"	NA	NA	NA
"297"	"130"	5	"included"	"dx"	NA	0.00708399128231698	NA
"298"	"1300"	9	"included"	"dx"	NA	0.0764524491483747	NA
